,GO,Genes,Gene_Count,Term_Description
2729,GO:0050664,DUOX1 NCF1 NOX3 DUOX2 CYBB CYBA NOX1 CYB5R4 NOX4 MICAL1 KMO NOX5 FMO5 NCF2 AIFM1 MICAL2,16,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"
2730,GO:0034452,PAFAH1B1 BICD2 BBS4 GSK3B MAPT SNX6 SPTBN5 HOOK3 HTT BICDL1 BICD1 SNX5,12,dynactin binding
2731,GO:0000217,LIN54 MEF2C RAD18 YY1 ERCC5 RECQL4 PAX6 RAD51C HMGB3 RAD51D HMGB1 H1-0 FANCM HAND2 RAD51AP1 XPC WRN MAPT POT1 NEIL3 HMGB2 XRCC2 MEN1 XRCC3 MECP2 HMGA2 NR0B1 RAD51B MSH6 GEN1 HNRNPD ABL1 SMC6 BLM CLSPN MSH2 KMT2A SMC5 HMGA1,39,DNA secondary structure binding
2732,GO:0035727,PPT1 PNPLA3 TPP1 LPAR4 VIL1 LPAR1 GAP43 CLN6,8,lysophosphatidic acid binding
2733,GO:0005436,SLC17A1 SLC17A4 SLC17A2 SLC20A2 SLC17A8 SLC20A1 SLC34A2 MFSD2A SLC34A3 SLC17A7 SLC17A6 SLC34A1 SLC17A3,13,sodium:phosphate symporter activity
2734,GO:0033558,SUDS3 HDAC6 SIRT2 SIRT7 MIER2 HDAC4 HDAC11 HDAC8 SIRT1 MTA2 HDAC7 HDAC10 SIRT5 HDAC5 MIER1 HDAC3 HDAC1 SIRT4 HDAC9 MIER3 SIRT3 HDAC2 SIRT6,23,protein lysine deacetylase activity
2735,GO:0008405,CYP2C9 CYP2J2,2,"arachidonic acid 11,12-epoxygenase activity"
2736,GO:0005324,ABCD1 ABCD2 ABCD4 FABP1 SLC27A5 SLC27A4 SLC27A6 FABP5 SLC27A2 ABCD3 FABP4 FABP2 CD36 MFSD2A SLC27A1 SLC2A1,16,long-chain fatty acid transporter activity
2737,GO:0019776,ATG12 ATG5 ATG3,3,Atg8-family ligase activity
2738,GO:0047238,CHPF2 CHSY1 CHPF CSGALNACT2 CSGALNACT1 CHSY3,6,glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
2739,GO:0008118,ST3GAL3 ST3GAL4,2,"N-acetyllactosaminide alpha-2,3-sialyltransferase activity"
2740,GO:0035673,SLC15A2 ABCB9 CDH17 SLC15A3 SLC15A4 SLC15A1,6,oligopeptide transmembrane transporter activity
2741,GO:0004802,TKTL2 TKT TKTL1,3,transketolase activity
2742,GO:0098640,SVEP1 ITGA9 MADCAM1 EMILIN1 ITGB1,5,integrin binding involved in cell-matrix adhesion
2743,GO:0019705,ZDHHC15 ZDHHC17 ZDHHC2 ZDHHC3 ZDHHC7 ZDHHC20,6,protein-cysteine S-myristoyltransferase activity
2744,GO:0035596,CDKAL1 CDK5RAP1,2,methylthiotransferase activity
2745,GO:0015179,SLC66A1 SLC43A2 SLC1A5 SLC3A1 SLC36A4 SLC7A8 SLC7A6 SLC1A6 SLC16A10 SLC15A4 SLC7A10 SLC7A2 SLC7A7 SLC43A1 SLC7A1 SLC25A13 SFXN1 SLC25A29 SLC38A11 SLC1A2 SLC38A5 SLC38A2 SERINC5 SLC7A11 SLC25A2 SLC25A38 SLC6A7 SLC6A5 SLC36A3 SLC36A1 SLC6A20 SERINC3 CTNS SLC17A7 SLC38A7 SLC38A3 SLC7A3 SLC7A9 SLC38A4 SLC38A6 SLC32A1 SLC47A1 SLC7A13 SLC17A8 SLC3A2 SLC36A2 SLC17A6 SLC25A15 SLC6A9 SLC22A2 SLC25A26 SLC38A8 UCP2 SLC1A1 SLC1A7 SLC25A18 SLC1A4 SLC38A1 SLC25A22 SLC25A12 SLC38A9 SLC7A5 SLC38A10 SLC1A3,64,L-amino acid transmembrane transporter activity
2746,GO:0030527,H3C4 H1-6 CENPA H2AC16 H4C8 H2BC6 H1-0 H3C1 H3C8 H2AC19 H3C13 H3-3A H4C4 H1-3 H2AC14 H2AC8 H2AJ H3C2 H2AC21 H3C10 H2BC5 H4C3 H2BC1 H3C15 H3C11 H2BC11 H3C12 H4C6 H1-8 H1-2 H2AB1 H2AC1 H3C14 H2BC14 H2AC25 H2BC7 H2AZ2 H2AB2 H2BC18 H2BC21 H3C6 H2AC6 H2AC20 H2AC18 H2AC11 LOC102724334 H2BC3 H2AC4 H3-3B H2BC9 MACROH2A2 H3C7 H2AC17 H2BC17 H4C11 H3-5 H2BC13 H4C1 H2AC15 H1-1 H4C5 MACROH2A1 H2AC7 H2BC4 H1-5 H2AC12 H2BC12 H4C7 H2AB3 H2BC15 H2AZ1 H2AC13 H2BC10 H4C2 H2BC26 LMNTD2 H2BW1 H3-4 H3C3 H1-4 H2BW2 H1-10 H4C15 H2AX H4C9 HMGA1 H2BC8,87,structural constituent of chromatin
2747,GO:0043812,SYNJ1 SACM1L INPP5F,3,phosphatidylinositol-4-phosphate phosphatase activity
2748,GO:0015146,SLC5A1,1,pentose transmembrane transporter activity
2749,GO:0035410,AKR1C3 HSD17B1 AKR1C1 AKR1C4,4,dihydrotestosterone 17-beta-dehydrogenase activity
2750,GO:0003777,KIF15 DNHD1 KIF6 KIF20B DNAL4 DYNC1I1 KIF22 KIF21A KIF5B KIF26B DYNC1H1 DNAH10 APPBP2 KIF25 KIFC1 DNAH1 KIF19 SMC3 KIF1B DNAH12 KIF16B DYNC2H1 KIF5C KIF3C DNAH8 KIF5A KIF9 KIF26A KIF3B KIF13B DNAH14 KIF24 DYNLRB2 DNAI2 DNAH6 KIF2A DNAH3 KIF1C DYNC1I2 DNAH7 KIF3A KIF21B KIF7 KIF4A DNAH2 KIF2B KIF11 KIF18A KIFC3 CENPE KIF13A STARD9 KIF14 DYNLRB1 KIF4B KIF12 DNAH5 KIF17 KIFC2 KIF18B KIF20A DNAH11 DNAH9 KIF2C KIF1A KIF23 DNAH17 KIF27,68,microtubule motor activity
2751,GO:0008311,RAD1 TREX1 APEX2 TREX2 APEX1 RAD9A,6,double-stranded DNA 3'-5' DNA exonuclease activity
2752,GO:0071813,TREM2 SCARB1 MSR1 SAMD1 GPIHBP1 STAB1 LRP8 PLTP COLEC12 SCARF1 MAPT APOA2 LDLR CRP LPL APOA1 HSPD1 SORL1 CDH13 CD36 APOE THBS1 APOL2 STAB2 LIPC ABCA1 PCSK9 VLDLR APOL5,29,lipoprotein particle binding
2753,GO:0051998,ICMT PCMTD1 LCMT1 PCMT1 PCMTD2 ARMT1,6,protein carboxyl O-methyltransferase activity
2754,GO:0004712,CLK4 MAP2K7 MAP2K4 DYRK1B RPS6KA1 TESK2 MAP2K5 MAPKAPK5 AKT1 DSTYK AURKC SGK1 CLK3 MAPK10 RPS6KB1 MAP2K3 DYRK4 MAP3K9 MAP2K1 PRKACA DYRK1A DYRK2 PRKAA2 RPS6KA2 DYRK3 TNK2 MAPK9 TTK TESK1 BRAF MAPK14 AURKB ACVR2B PRKCG MAP2K2 MAP2K6 PBK AURKA PAK3 CLK2 CLK1 MAPKAPK3,42,protein serine/threonine/tyrosine kinase activity
2755,GO:0120225,ACAT1 HMGCR,2,coenzyme A binding
2756,GO:0035173,PRKCB RPS6KA5 PRKDC ATM VRK1 HIPK4 PRKCA PKN1 JAK2 DCAF1 MAP3K7 BAZ1B RPS6KA4 CDK2 ATR CDK1 DYRK1A HASPIN PRKAA2 BUB1 CHEK1 PRKAA1 AURKA,23,histone kinase activity
2757,GO:0098631,DSC2 TRIM29 DSCAM NRCAM NTNG1 PKP2 JUP TMIGD1 TMOD3 ROBO4 NEXN NFASC PALLD PKP3 CXADR ESAM RPSA ITGA9 LRRC4C DSG2 CNTN5 CLSTN3 AGER ITGA1 CD200 ANXA2 MADCAM1 ITGA2 DSCAML1 DSP IZUMO1 MYPN PLXNB3 CNTN2 CNTN1 PDLIM5 ANXA1 EPCAM CDC42EP1 PDLIM1 S100A11 RAB10 GLDN BCAM IGSF9 BAIAP2L1 EMILIN1 CNN3 STXBP6 ROBO3 PAK4 CD47 ITGA10 SIRPA ITGB1 ITGA11 SVEP1 KRT18 PPP1CA NINJ1 VCAM1 CNTN6 JAM3 EMB BAIAP2 CNTN4,66,cell adhesion mediator activity
2758,GO:0005123,RIPK1 BID NTF4 CASP3 CASP8AP2 MYD88 EDA FEM1B BDNF NOL3 TMBIM1 DAB2IP PIDD1 NGF NTF3 FADD FASLG BEX3 MADD CFLAR CASP8,21,death receptor binding
2759,GO:0019798,P3H2 P4HB P4HA3 P4HA2 P3H1 P4HA1 P4HTM P3H3,8,procollagen-proline dioxygenase activity
2760,GO:0033293,NME1-NME2 LCN12 CYP26B1 NDUFAB1 UGT1A3 FABP7 UGT1A1 TMEM175 PMP2 S100A8 IGF2R CRABP2 DBT SNCA CD36 GSTM2 FABP9 CYP2W1 ACOXL AKR1C3 FABP6 SCP2 HNF4A ALOX5AP PYGL APOC1 GPR31 NR2F2 ALB ACOX3 UGT1A4 FFAR4 UGT2B7 AKR1C1 RBP2 RBP1 UGT1A8 ACACB RARA CYP26C1 RBP5 GSTP1 ACOX2 FABP1 NME2 PRR7 CRABP1 PLA2G1B ACOX1 NAPEPLD FABP3 UGT2B4 UGT1A10 CYP27C1 GSTA1 UGT2B17 PPARG FABP5 FABP12 PTGDS UGT1A9 PCCA LRAT UGT2B15 ID3 FABP2 STX3 MCCC1 AKR1C2 CYP26A1 FABP4 S100A9 RBP7 SERPINA5 PC UCP1 UGT1A6 UGT1A7 AKR1C4 HLCS VDR OXER1 NR1H4 ADH5 PSAP RXRA PPARD CYP4F11,88,monocarboxylic acid binding
2761,GO:0031687,GRM5 TSNAX NECAB2,3,A2A adenosine receptor binding
2762,GO:0008768,NUDT14 NUDT22,2,UDP-sugar diphosphatase activity
2763,GO:0042015,IL20RA IL20RB IL22RA1,3,interleukin-20 binding
2764,GO:0051019,PPM1D MAPKAPK2 STAU2 PTAFR MAPKAPK5 TNIP1 SIRT1 CDK5RAP3 NFATC1 DUSP10 MICAL2 ACE ATF7 DUSP1 TPR DIRAS1 ABL1 GCH1 NBR1 DUSP2 MAPK14 MAPK7 PTPRJ TAB1 PRKG1 PRMT1 DUSP16 PRKG2 MAPKAPK3,29,mitogen-activated protein kinase binding
2765,GO:0015349,SLC17A4 SLC16A2 SLCO4A1 SLC7A8 SLC16A10 SLCO1B1 SLC7A5 SLCO1C1,8,thyroid hormone transmembrane transporter activity
2766,GO:0052732,PHOSPHO1 ALPL,2,phosphoethanolamine phosphatase activity
2767,GO:0043771,DCK UCK2 UCKL1 UCK1,4,cytidine kinase activity
2768,GO:0004797,TK2 TK1,2,thymidine kinase activity
2769,GO:0032356,MSH6 BLM RPS3 WRN RECQL4 POT1 MSH2 MSH3 OGG1 XRCC1 MUTYH,11,oxidized DNA binding
2770,GO:0062181,CYP3A4 CYP24A1,2,"1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity"
2771,GO:0043024,UNG USP16 NPM1 LARP1 DDX3X ABCE1 ERAL1 DHX29 EIF1B PTCD3 MTIF3 NME1 G3BP1 CPEB2 EIF1 PIM1 MTIF2,17,ribosomal small subunit binding
2772,GO:0001016,MTOR MAF1 SNAPC4 SNAPC3 PRDX5 GTF3C5 BRF1 BRF2,8,RNA polymerase III transcription regulatory region sequence-specific DNA binding
2773,GO:0045519,IL12B IL23A,2,interleukin-23 receptor binding
2774,GO:0033906,HYAL3 HYAL2,2,hyaluronoglucuronidase activity
2775,GO:0004499,FMO3 FMO4 FMO2 FMO5 FMO1,5,"N,N-dimethylaniline monooxygenase activity"
2776,GO:0035251,ALG5 GYS1 GYG1 POGLUT2 POGLUT3 UGGT2 GYG2 UGCG UGGT1 POGLUT1 GYS2,11,UDP-glucosyltransferase activity
2777,GO:0005459,SLC35B1 SLC35A3 SLC35A2,3,UDP-galactose transmembrane transporter activity
2778,GO:0046997,SARDH DMGDH,2,"oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor"
2779,GO:0070326,APOE RELN PCSK9 LRPAP1,4,very-low-density lipoprotein particle receptor binding
2780,GO:0016247,HPCAL4 LYNX1 TRPV1 COMMD1 YWHAH FGF12 FXYD5 NPY GRM3 CABP5 ADRB2 TMEM168 CRISP1 GPLD1 RASA1 SNF8 NOS1 GEM RACK1 NRXN1 DLG1 LRRC38 SCN2B KCNMB2 TNNI3 CACNG5 CFTR ABCC9 KCNS1 PRKCB KCNE2 KCNIP1 FGF11 PKP2 LAMP2 CACNG4 FGF13 KCNV1 SCN3B FXYD1 RANGRF C8orf44-SGK3 NPY2R FLNA CHP1 GLRX BCL2 RSC1A1 LAMP1 CACNG2 NHERF1 DPP6 BSND NRXN2 FKBP1A NEDD4 PHPT1 CHRNA7 LYNX1-SLURP2 YWHAE TSPAN13 CABP2 STX8 KCNIP3 FXYD7 STIM1 AMIGO1 LRRC55 KCNS3 LRRC26 KCNMB4 KCNE3 TMPRSS3 NEDD4L CACNB3 CACNG8 AKT1 PACSIN3 SRI CAMK2D SUMO1 FXYD2 NHERF4 SGK1 KCNE4 CACNG1 STX7 FGF14 SCN1B SCLT1 ENSA GRM2 PDE4D VAMP8 CACNG6 GPD1L WNK4 KCNMB3 DPP10 AKAP9 ARPP19 PDE4B PCSK9 CAV3 KCNIP4 FKBP1B SGK3 KCNIP2 ATP2B4 VTI1B SCN4B PRKCZ FXYD4 FXYD6 KCNE5 ITPR1 KCNMB1 KCNAB3 SLC30A1 LRRC52 AMBP SNTA1 STIMATE CABP1 STX1A FXYD3 REM2 MCUB CAV1 SGK2 STIM2 DRD4 KCNAB1 CACNG3 RRAD KCNAB2 PTPN3 CACNG7 CABP4 PRKG1 KCNE1 REM1,142,channel regulator activity
2781,GO:0005080,PRKCB GRK5 YWHAG ADCY4 PICK1 SRC TOP2A CAVIN3 PKP2 TWF2 UGT1A10 DACT1 PRKD1 PLEK PKN1 MARCKS HINT1 ADAM9 CCDC88A UGT1A7 DACT3 HDAC7 FEZ1 AVPR1B HDAC5 ITGAV NELL2 FLNA DSP PDLIM5 SDC4 PRKD2 DACT2 IRS1 AVPR1A RACK1 PRKCSH ABL1 HSPB1 SRSF2 SQSTM1 ITGB3 ADCY6 HDAC9 TRPV4 LDB3 CAVIN2 GLRX3 TIRAP TDG ADD3 NELL1,52,protein kinase C binding
2782,GO:0032396,LILRA2 KIR3DL1 LILRA5 LILRB1 KIR2DS5 LILRA1 LILRB2 LILRA3 LILRB4 LILRA4,10,inhibitory MHC class I receptor activity
2783,GO:0050700,IRGM CASP1 CARD9 CASP4 CARD16 NOD2 CARD18 CARD11 RIPK2 CARD19 CARD8 CARD14 BCL10 CARD10 NOD1 MAVS,16,CARD domain binding
2784,GO:0008429,PLTP TREM2 ESYT3 GABARAP MAP1LC3B2 ESYT1 GABARAPL1 CD300A ANXA11 NF1 GABARAPL2 MAP1LC3A PEBP1 ESYT2 MAP1LC3B MAP1LC3C,16,phosphatidylethanolamine binding
2785,GO:0001642,GRM8 GRM7,2,group III metabotropic glutamate receptor activity
2786,GO:0004033,AKR1A1 AKR1B1 CBR1 ALDH3A1 AKR7A3 SPR KCNAB3 AKR1C4 AKR1E2 AKR1D1 DHRS4 AKR1C1 RDH11 RDH10 DHRS3 KCNAB1 RDH8 RDH12 AKR1B10 AKR1B15 AKR7A2 AKR7L KCNAB2 RDH13 AKR1C3 RDH14 ADH4 MIOX DHRS7 AKR1C2,30,aldo-keto reductase (NADP) activity
2787,GO:0008263,TDG MBD4,2,pyrimidine-specific mismatch base pair DNA N-glycosylase activity
2788,GO:0004527,EXOSC10 POLE DXO EXO5 CNOT8 REXO4 TDP1 CNOT1 ANGEL2 FEN1 ENPP3 FAN1 ISG20 APLF EXOG PLD4 DDX1 EXOSC1 ZC3H12A ISG20L2 RAD50 APTX EXOSC8 ERI1 WRN EXO1 CNOT7 PAN2 EXD1 REXO5 RAD9A EXD2 TREX1 DCPS CNOT2 EXOSC2 ERI3 POLRMT NOCT EXOSC9 REXO2 DCP2 TREX2 POLD1 EXOSC6 POLG APEX1 XRN1 XRN2 ERI2 RAD1 MRE11 APEX2 PLD3 DCLRE1A USB1 EXOSC3 TOE1 EXOSC5 MEIOB REXO1 MGME1 EXOSC7 CNOT6L TATDN1 PDE12 DCLRE1C AEN HELZ2 DIS3 EXOSC4 EXD3 DCLRE1B DIS3L TRIR PARN ANGEL1 PNPT1 DIS3L2 ENPP2 ENPP1 CPSF3 PNLDC1 PAN3,84,exonuclease activity
2789,GO:0003876,AMPD1 AMPD3 AMPD2,3,AMP deaminase activity
2790,GO:0004488,MTHFD1 MTHFD2 MTHFD1L MTHFD2L,4,methylenetetrahydrofolate dehydrogenase (NADP+) activity
2791,GO:0019158,HK1 GCK,2,mannokinase activity
2792,GO:0042020,IL23R IL12RB1,2,interleukin-23 receptor activity
2793,GO:0032451,KDM5A RIOX2 KDM4C KDM5D ALKBH4 KDM4E KDM4B ALKBH3 KDM4D ALKBH2 JARID2 FBXL19 KDM1B RSBN1 KDM8 KDM1A ALKBH5 UTY RIOX1 KDM7A ALKBH1 JMJD6 KDM2A HR CYP1A1 KDM5B KDM2B KDM6B CYP1A2 PHF8 JMJD1C PHF2 KDM4A KDM5C FTO KDM3A MMACHC CYP51A1 KDM3B KDM6A,40,demethylase activity
2794,GO:0015355,SLC16A7 SLC5A6 SLC6A11 SLC16A1 SLC6A8 SLC16A3 SLC10A3 SLC5A8 SLC5A12 SLC6A6 SLC32A1 SLC10A5 SLC10A6 SLC6A13 SLC10A4 SLC10A2 SLC10A1 SLC6A12 SLC6A1,19,secondary active monocarboxylate transmembrane transporter activity
2795,GO:0106245,PTDSS1 PTDSS2,2,L-serine-phosphatidylethanolamine phosphatidyltransferase activity
2796,GO:0071633,ACER1 ACER2 ACER3,3,dihydroceramidase activity
2797,GO:0003904,CRY1 CRY2,2,deoxyribodipyrimidine photo-lyase activity
2798,GO:0034228,SLC44A2 SLC44A1,2,ethanolamine transmembrane transporter activity
2799,GO:0008373,ST6GALNAC1 ST6GALNAC3 C20orf173 ST3GAL6 ST8SIA1 ST6GALNAC5 ST3GAL5 ST3GAL4 ST6GALNAC2 ST8SIA5 ST6GAL2 ST6GAL1 ST6GALNAC4 ST8SIA3 ST3GAL1 ST6GALNAC6 ST8SIA2 ST3GAL3 ST8SIA4 ST8SIA6 ST3GAL2,21,sialyltransferase activity
2800,GO:0032143,MSH2 MSH6,2,single thymine insertion binding
2801,GO:0016765,ALOX5AP TRIT1 GSTA2 GSTM1 GSTO1 DPH1 GSTZ1 RABGGTB FNTA GSTO2 LANCL1 LTC4S MAT1A RABGGTA GSTA1 MGST2 GSTA4 MMAB CHM MGST3 AGPS HMBS GSTK1 NUS1 MGST1 COQ2 GSTT1 CLIC2 PTAR1 TSR3 FDPS FDFT1 DHDDS COX10 DPH2 DTWD1 PTGES CHURC1-FNTB GSTM4 NANS GSTM2 MAT2A DTWD2 GSTM5 GSTT2 FNTB GSTP1 SRM SH3BGRL3 HPGDS GSTA3 GSTA5 TRMT12 PDSS2 GSTT2B DHPS PDSS1 PGGT1B SMS GSTM3 UBIAD1 GGPS1,62,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
2802,GO:0099095,GLRA2 GLRA1 GABRA3 GABRB2 GABRG3 GABRG1 GABRA5 GABRB1 GABRA6 GLRA3 GLRB GABRA2 GABRA4 SLC1A7 GABRA1 GABRB3 GABRG2 CFTR GABRE,19,ligand-gated monoatomic anion channel activity
2803,GO:0046936,ADA ADA2 LACC1,3,2'-deoxyadenosine deaminase activity
2804,GO:0070698,NODAL SMAD6,2,type I activin receptor binding
2805,GO:0160004,CHD1L HTATSF1 CGAS PARP2 MACROH2A1,5,poly-ADP-D-ribose modification-dependent protein binding
2806,GO:0030697,TRMT2B TRMT2A,2,"tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent"
2807,GO:0070401,GMDS HSD17B1 ME3,3,NADP+ binding
2808,GO:0001621,P2RY1 P2RY6 P2RY12,3,G protein-coupled ADP receptor activity
2809,GO:0070553,HCAR3 HCAR2,2,nicotinic acid receptor activity
2810,GO:0035591,LDLRAP1 RIPK2 AKAP13 CDC42SE2 SH2B3 CRK SLA2 FRS2 WDR59 NCK1 GRB2 RACK1 SH2B2 PAG1 IRS2 MAPK8IP2 GNB1 G3BP2 MAGI2 NLRP1 LAT RGS14 ZDHHC11 HOMER2 IQGAP1 DDX3X DEDD2 GNB5 LRRK2 CRKL NUP62 SPATA2 STING1 CD3G SARM1 GRIP1 DLG5 SHANK2 GNB4 SHANK1 SPAG9 PIK3R1 ARF6 MAVS HCLS1 ROPN1B CAPRIN1 IRS1 DAB2IP GNB2 AXIN1 KSR1 SOCS2 IFNAR1 KHDRBS1 GNB3 MAP2K2 YWHAE STAP1 PTPN11 HOMER1 TRAT1 ABI1 SHB BLNK MMS19 GRB10 DOK2 FRS3 FCRL2 NCK2 GAB2 SH3RF1 ABI2 NOS1AP KSR2 SCRIB SHC1 NLRP6 GAB4 SORBS1 CARD10 ABI3 BANK1 SH2B1 IFNAR2 IKBKG HAX1 MAPK8IP3 FMR1 CD3E MAP2K1 AIM2 MPP7 DUSP19 GAB3 STAP2 NLRP3 STAT3 TRADD GAB1 MAPK8IP1 GRAPL,103,signaling adaptor activity
2811,GO:0042826,NCOR1 MEF2C MAGEA10 MAGEA1 DHX36 GCM1 JDP2 MAGEA4 BORCS8-MEF2B PARP1 HDAC5 MIER1 TAL1 HIF1A TRAF6 WDTC1 CCND1 NR2C1 BRMS1 BCOR LEF1 RBBP4 PKN2 NCOR2 HDAC9 HEY2 MEF2D GLI3 IKZF3 NACC1 SUDS3 MYOCD HDAC6 SIRT2 BHLHE41 SPI1 CHD4 DACT1 MAGEA2 PKN1 HES1 HSPA1A ZMYND15 RAD9A NR2E1 ANKRD1 RARA THAP7 KAT2B SRF MAGEA9B HNRNPD HSP90AA1 TBX2 PHF6 ANKRA2 KAT2A RELA NRIP1 MAGEA8 YWHAE AKAP8L HIC1 LOC102724428 AKAP8 MAGEA6 HSP90AB1 CAMTA2 CEBPB KLF4 NUDT21 SIK1 SFPQ MIER2 HDAC4 NACC2 MAGEA9 LCOR MTA2 MAGEA3 SATB2 PRKN PHB1 DDX20 RFXANK SKOR2 FOXP3 CBX5 SP2 HDAC3 TWIST1 KCTD21 HDAC1 GMNN SMG5 TFAP4 MTA3 MIER3 NKX3-1 BEX4 HDAC2 HOXA10 NIPBL H1-5 BLTP3A CRY1 CIR1 MEF2B MAGEA11 TCF21 HSPA1B INSM1 HDAC10 MECP2 MEF2A BRMS1L SMYD4 H1-4 SP1 MAPK8 USF1 TP53 ZBTB7B MAGEA12 MAGEA2B MTA1 YWHAB BCL3 KPNA2,129,histone deacetylase binding
2812,GO:0043995,KAT8 JADE1 KAT6A BRD1 KAT7 ING3 MEAF6 ING4 JADE2 BRPF1 BRPF3,11,histone H4K5 acetyltransferase activity
2813,GO:0004705,MAPK8 MAPK9 MAPK10,3,JUN kinase activity
2814,GO:0140410,SLC4A5 SLC39A5 SLC4A8 SLC39A4 SLC39A12 SLC39A8 SLC4A7 SLC4A9 SLC4A4 SLC4A10 SLC39A6 SLC39A14 SLC39A10,13,monoatomic cation:bicarbonate symporter activity
2815,GO:0030551,FKBP1B PDE6G PDE11A STING1 PRKAR2B HCN1 CNGA3 PDE2A HCN4 PRKAR2A PRKAR1B CNGB1 CNGA1 CNGA4 POPDC3 KCNH1 CNBD2 HCN3 PDE4D PRKAR1A PDE6H CNGA2 RAPGEF3 POPDC2 PDE5A RAPGEF2 PDE6C CNGB3 SLC19A1 HCN2 PDE4A RAPGEF4 PDE10A PDE4B PRKG1 BVES CNP PRKG2,38,cyclic nucleotide binding
2816,GO:0016971,QSOX1 GFER QSOX2,3,flavin-dependent sulfhydryl oxidase activity
2817,GO:0004415,CEMIP2 OGA HYAL3 SPAM1 HYAL4 CEMIP HYAL1 HYAL2,8,hyalurononglucosaminidase activity
2818,GO:0004859,PINLYP ANXA1 ANXA5 SNCA APOC1 SNCB ANXA3 ANXA2 SCGB1A1 PDC ANXA4 ANGPTL3,12,phospholipase inhibitor activity
2819,GO:0043273,ENTPD7 DDX3X ABCE1 ENTPD4 NTPCR,5,CTPase activity
2820,GO:0008331,CACNA1C CACNA1H CACNA1I CACNB2 CACNB1 CACNB4 CACNA1F CACNA1A CACNA1S CACNA1B CACNA1D CACNA1G CACNB3 CACNA1E,14,high voltage-gated calcium channel activity
2821,GO:0015433,TAP1 TAP2,2,ABC-type peptide antigen transporter activity
2822,GO:0016499,HCRTR2 HCRTR1,2,orexin receptor activity
