,GO,Genes,Gene_Count,Term_Description
774,GO:0097125,CDK1 CCNB1,2,cyclin B1-CDK1 complex
775,GO:1990745,VPS53 EIPR1 VPS52 VPS50 VPS51,5,EARP complex
776,GO:0090733,TNN TNC TNXB TNR,4,tenascin complex
777,GO:1990316,ULK1 TBC1D5 SMCR8 WDR41 RB1CC1 ATG13 SESN2 ATG101 C9orf72,9,Atg1/ULK1 kinase complex
778,GO:0005797,HLA-A YIPF2 ST6GAL1 B3GALT6 HID1 GOSR1 ST3GAL1 YIPF6 MAN2A1 TMEM59 SLC10A7 YIPF1,12,Golgi medial cisterna
779,GO:0061702,CASP1 CARD16 CASP4 MEFV CASP12 NLRP3 DDX3X PYCARD AIM2 NLRP6 CASP5 CARD8 NLRP1 NLRC4 NAIP DHX33 GSDMD NLRP9,18,canonical inflammasome complex
780,GO:0031201,NAPG CPLX2 NAPB VTI1B STX12 VAMP1 SNX4 BNIP1 SNAP47 TSNARE1 SNAP25 SEC22B CPLX1 STX1B VTI1A STXBP5 CPLX3 GOSR1 STX1A BET1 YKT6 DOC2B SNAP29 BLOC1S6 STX4 STX5 USE1 STX7 STX19 SNAP23 GOSR2 VAMP8 VAMP2 VAMP7 CPLX4 VAMP4 VAMP3 STX18 STXBP5L STX10 STX17 STX16 STX6 STX2 STX8 STX11 STX3 NAPA SYN2 BET1L,50,SNARE complex
781,GO:0030868,STX17 SVIP PGRMC1 HSD3B1 AQP8 TTYH1 HSD3B2 FTCD,8,smooth endoplasmic reticulum membrane
782,GO:0005751,NDUFA4L2 COX5A COX8C COX1 COX7A2 COX7A1 COX2 COX7C COX6B1 COX7A2L UQCRC2 COX6A2 COX6C NDUFA4 C15orf48 COX8A COX3 UQCRFS1 COX7B COX4I1 COX5B COX6A1 COX4I2,23,mitochondrial respiratory chain complex IV
783,GO:0032998,MS4A2 FCER1G LILRA4,3,Fc-epsilon receptor I complex
784,GO:1990812,ITGA3 FMR1,2,growth cone filopodium
785,GO:0005848,CSTF3 CSTF1,2,mRNA cleavage stimulating factor complex
786,GO:0008282,KCNJ11 ABCC9 KCNJ8 ABCC8,4,inward rectifying potassium channel
787,GO:0022627,RPS19 RPS4Y1 RPS8 RPS25 DDX3X RPS4Y2 RPS27A MCTS1 RPS21 RPS7 RPS26 RPS24 UBA52 RPS6 FAU RPS10 RPSA RPS3 RPS11 RPS28 RPS27L RPS14 RPS29 EIF2A RPS15 RPS9 RPS16 EIF2D RPS17 LARP4 RACK1 RPS18 RPS3A RPS13 RPS2 RPS5 RPS23 RPS12 DHX29 RPS27 RPS15A RPS20 RPS4X,43,cytosolic small ribosomal subunit
788,GO:0033557,SLX1A SLX1B SLX4,3,Slx1-Slx4 complex
789,GO:0015934,RPL26L1 NPM1 MRPL54 RPL24 MRPL36 MRPL23 RPL5 MRPL39 MRPL4 RPL36 MRPS18A MRPL38 RPL35 RPL3L RPL27 RPL13 MRPL40 MRPL58 RPL3 MRPL51 RPL32 MTERF4 RPL39 SNU13 MRPL47 RPL37 MRPL35 RPL23A RPLP1 RPL10 ZCCHC17 MRPL53 MRPL44 MRPL55 NSUN4 MRPL28 MRPL49 MRPL13 MRPL22 RPL17 RBM3 RPL19 RPL31 MRPL48 RPL14 RPL30 RPL18 RPL7 RPL4 MRPL20 RPL36AL MRPL15 RPL22 MRPL52 RPL38 RPL29 MRPL30 MRPL11 NSUN3 RPL35A MRPL12 MRPL37 MRPL18 RPL28 MRPL24 MRPL27 RPL8 MRPL46 MRPL43 MRPL1 MRPL33 MRPL21 UBA52 MRPL34 MRPL50 MRPL32 RPL15 MPV17L2 MRPL10 MRPL57 RPL7L1 RPLP0 RPL36A MRPL14 MRPL16 RPL27A MRPL17 MRPL2 RPL18A RPL26 RPL7A RPL6 MRPL19 RPL9 RPL37A RPL10A MRPS30 RPL23 MRPL42 RPL13A RPL11 RPL41 NHP2 MRPL9 RPL34 RPL10L MRPL41 RPL21 MRPL3 RPL39L RSL1D1 GADD45GIP1 RPL12 RPLP2,114,large ribosomal subunit
790,GO:0090734,XRCC5 AUNIP SIRT7 WAS KAT5 TOPBP1 SMCHD1 RPA1 ARPC1A HUS1B PRPF19 PARP1 ARPC3 TONSL DMC1 CYREN TIMELESS KAT7 HELQ POLQ ARPC2 HELB RPA3 OARD1 SAMHD1 HPF1 RNF138 RIF1 ASF1A KDM4D APLF ESCO2 ELOA RNF8 RAD18 MDC1 PARP9 CHD4 NABP1 WRAP53 RAD50 RPA2 CBX3 RPA4 ARPC4 UIMC1 XRCC4 PARP3 ATR EXD2 SLF2 PHF1 SHLD2 XRCC1 SMC6 ERCC6 IFFO1 ZMYND8 HROB SMC5 ARPC5 ACTR3 MBTD1 SHLD1 MAD2L2 SLFN11 CUL5 WDR70 UBQLN4 CBX1 PNKP NBN UFL1 SETMAR RAD51 CGAS PARP2 INTS3 CBX5 EPC1 CHD1L ZBTB7A ZGRF1 MACROH2A1 TRAIP RFWD3 SPINDOC NKX3-1 DDB1 HUS1 SIRT6 TP53BP1 NABP2 RNF168 SMARCAL1 POLL NHEJ1 XPC RHNO1 ACTR2 SMARCA5 RNF169 SMARCAD1 POLH DDB2 WDR76 AIM2 ADPRS CNTD1 PAXX TP53 MMS22L SLF1 HTATSF1 POLK ATF2 H2AX LMNA INIP VCP MRE11,121,site of DNA damage
791,GO:0099524,DAG1 DBN1 KIF5C HOMER1 PRKCG HTT CALB1 PLCB1 BAIAP2 FBXO45 PIN1 PLCB3,12,postsynaptic cytosol
792,GO:1990635,RAB3IP MAP2 SLC1A1 KCNB1 GIGYF2 GSK3A,6,proximal dendrite
793,GO:0032593,SLC2A4 DENND4C RAB4B RAB10 RAB13 RAB4A MYO5A,7,insulin-responsive compartment
794,GO:0071062,ITGB3 VTN ITGA5,3,alphav-beta3 integrin-vitronectin complex
795,GO:0031436,BRCA1 BARD1,2,BRCA1-BARD1 complex
796,GO:0031983,BIN2 PGM2 SERPINE1 AHSG MMP8 ITIH3 CTSC TUBB4B GRP TMSB4X PGLYRP1 PSMD12 GSN PSMD1 ACTR1B VCL AGL HRG TGFB3 ELANE CSTB C6orf120 TXNDC5 XRCC6 PSMA2 ALB CAMP ARMC8 CAP1 NEU1 ORM1 PTX3 GHDC NHLRC3 TIMP2 GSTP1 TOR4A RNASET2 GUSB GHRL PRDX4 DEFA1 ACTR10 ARSA SPTAN1 PTGES2 PKM GSDMD MAPK14 SCCPDH PGAM1 RARRES2 HPSE ARG1 SCG3 DNASE1L1 TTR AGA PSMB7 CYFIP1 FN1 HP ECM1 APRT PSMA5 MAGED2 EEF1A1 PPBP DYNLT1 CFD VCP TF XRCC5 GM2A PSMB1 CDA UNC13D SRP14 B2M CFP MAPK1 RNASE2 IMPDH1 PSMD11 ACLY ADA2 DSN1 PSMD7 CLU LYZ SPACA7 APAF1 BPI IGF1 FRK MVP GNS PRSS57 F5 MIF CRISP3 AZU1 VAT1 SERPINI1 CYRIB DBH ACTN4 SRGN ACTN1 DERA PRSS2 DEFA1B FTL EEF2 VWF BACE1 SLPI ITIH4 TOLLIP HRNR SERPINF2 CTSZ GCA CTSD SERPINA1 CAB39 PSMC3 DBNL ALDOC LTF FGG PSMD13 VEGFB TUBB CTSA PLG EPX INS C1orf35 VTI1B TIMP1 S100A9 EGF HUWE1 ROCK1 ARSB FUCA2 CCT8 DNAJC3 HGF PDGFB IGF2 GPI PSMD14 OSTF1 TIMP3 HMGB1 NME1-NME2 APOOL GRN CREG1 ANXA2 PROS1 ATG7 PF4 PYGB MPO PENK GIP FASLG NFKB1 TRAPPC1 HSPA6 NPC2 PYGL DDX3X NAPRT PSMD6 OSCAR GLA LEFTY2 PADI2 GAS6 EGFR GCG CAT HSP90AA1 COMMD9 AMPD3 NME2 CRACR2A SERPINA4 HSP90AB1 ERP44 SDCBP SELENOP GTPBP2 HEBP2 PCSK1 TEX264 ALOX5 ALAD FAF2 MMRN1 CSNK2B FABP5 VEGFD C3 ARHGAP45 FOLR3 GMFG IDH1 FGA ADA ORM2 MNDA PFKL KPNB1 SPARC ARHGAP9 VPS13A PSMD3 POMC TGFB1 APOA1 APOH S100P FERMT3 LCN2 CPPED1 PDGFA TGFB2 FUCA1 CYB5R3 PRG3 CHI3L1 DPP7 JUP MAN2B1 PRDX6 HSPA8 KNG1 COTL1 S100A8 PRKCD S100A11 VEGFA FAM3C CAND1 PCYOX1L LRG1 TCN1 CEP290 GGH ALDOA PPIE OLFM4 DYNC1H1 CCT2 CTSW PRTN3 PDXK CNN2 RAB27A F8 SERPINA3 CLEC3B A1BG NHLRC2 RETN ILF2 PLAC8 DEFA5 QPCT APP ARPC5 FGR DEFA4 S100A12 AOC1 PSMD2 OLA1 PAFAH1B2 PNP CRISPLD2 LGALS3BP PPIA PYCARD SERPINB3 HEXB CTSG F13A1 RNASE3 GLB1 THBS1 IMPDH2 CHIT1 ACTN2 STK11IP PTPN6 FGB CANT1 CXCL1 DEFA3 ACAA1 PSMC2 GALNS SPP2 FCN1 NIT2 GYG1 ACTR2 DOCK2 PA2G4 A2M CTSH QSOX1 ISLR S100A7 SERPINB1 CDC37L1 HK3 VEGFC GDI2 IST1 SERPING1,326,vesicle lumen
