GO	Genes	Gene_Count	Term_Description	50perc_contaminated_Genes	100perc_contaminated_Genes	Genes enriched term id	Genes enriched term description	Genes adj p-value	Genes overlap over enriched	Genes overlaping genes	50perc_contaminated_Genes enriched term id	50perc_contaminated_Genes enriched term description	50perc_contaminated_Genes adj p-value	50perc_contaminated_Genes overlap over enriched	50perc_contaminated_Genes overlaping genes	100perc_contaminated_Genes enriched term id	100perc_contaminated_Genes enriched term description	100perc_contaminated_Genes adj p-value	100perc_contaminated_Genes overlap over enriched	100perc_contaminated_Genes overlaping genes
GO:0033860	RFK INS SLAMF8 PARK7 AGTR1 DRD5 AGT	7	regulation of NAD(P)H oxidase activity	AGT RFK PARK7 GAPDHS PCDHB9 WLS CNTN2	CNOT7 EXOC3L1 KCTD2 MARCHF3 ALOXE3 CELA1 ITPRIP	GO:0033860	regulation of NAD(P)H oxidase activity	1.5799874716665625e-23	7/7	INS,RFK,SLAMF8,AGT,PARK7,DRD5,AGTR1	GO:0033864	positive regulation of NAD(P)H oxidase activity	1.7862673508498265e-07	3/4	RFK,AGT,PARK7	GO:0051122	hepoxilin biosynthetic process	0.175924318338999	1/9	ALOXE3
GO:0014744	PPP3CA MYMK FOXO3 MYOG TRPC3	5	positive regulation of muscle adaptation	PPP3CA MYMK SLC2A3 RLN1 CDYL2	RNF17 CBLN4 EDIL3 HNF1A ARHGAP25	GO:0014744	positive regulation of muscle adaptation	6.442453000344236e-17	5/5	PPP3CA,TRPC3,MYMK,MYOG,FOXO3	GO:0014744	positive regulation of muscle adaptation	0.0003684439779596	2/5	MYMK,PPP3CA	GO:0035565	regulation of pronephros size	0.0798637535510779	1/2	HNF1A
GO:0000338	COPS5 COPS7B COPS7A TOR1A COPS2 COPS6 GPS1 COPS8 COPS4 SENP8 COPS3	11	protein deneddylation	COPS5 COPS7B COPS2 GPS1 COPS3 ERC2 GPR89B KBTBD2 C6orf52 HSPE1 SYNC	SGCG CYB5D1 SLBP PPP2R5E TNR SLAIN2 RER1 SLC16A3 CCL14 D2HGDH SMIM24	GO:0000338	protein deneddylation	3.948718805353133e-37	11/11	COPS3,COPS6,SENP8,GPS1,TOR1A,COPS5,COPS8,COPS4,COPS7A,COPS2,COPS7B	GO:0000338	protein deneddylation	6.4965186100192335e-12	5/11	COPS3,GPS1,COPS5,COPS2,COPS7B	GO:0097402	neuroblast migration	0.159187634950096	1/7	TNR
GO:0060696	APOC1 LDLR APOC2 ENPP7 SCARB1 IDH1 PRKCD	7	regulation of phospholipid catabolic process	LDLR APOC2 PRKCD TM6SF1 LGALS8 TREX2 QRICH1	PARG PRPF38B INTS3 DENND4B RCOR3 TOPORS SLC17A9	GO:0060696	regulation of phospholipid catabolic process	1.0659129049408186e-23	7/7	APOC1,LDLR,PRKCD,ENPP7,SCARB1,IDH1,APOC2	GO:0060696	regulation of phospholipid catabolic process	1.1570985705978371e-06	3/7	PRKCD,LDLR,APOC2	GO:0015866	ADP transport	0.1594450421880694	1/12	SLC17A9
GO:0019885	TAP1 RAET1L RAET1E HLA-C TAP2 B2M TAPBP IDE MICB ERAP1 HLA-E ERAP2 MICA ULBP2 HLA-A HLA-B HLA-G ULBP1 HFE ULBP3 HLA-F RAET1G	22	antigen processing and presentation of endogenous peptide antigen via MHC class I	RAET1G ERAP2 HLA-A ULBP2 B2M HFE TAP2 ULBP3 RAET1E ULBP1 TAP1 MCAT PDE1B RNF25 KCNJ2 NAMPT CHODL SGSH COL9A1 AQP6 PTPRG EPCAM	CNTN1 ANXA8L1 PLA2G2D GCNT1 MSRB1 ZNF729 RCN1 FNIP1 AGR2 DPH6 H3C11 ATP2A3 TTI2 FSD1L MRPS21 PFN2 CNOT4 PEAK1 GLYATL3 GBX2 TRMT61A MVB12A	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	7.222101372842979e-70	22/22	TAP1,ERAP2,HLA-F,ERAP1,ULBP3,RAET1G,IDE,MICB,ULBP1,B2M,RAET1L,HLA-A,HLA-G,MICA,HFE,HLA-C,TAP2,ULBP2,RAET1E,HLA-B,TAPBP,HLA-E	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	4.843606477833376e-25	11/22	TAP1,RAET1G,ERAP2,HFE,TAP2,ULBP2,RAET1E,ULBP1,B2M,ULBP3,HLA-A	GO:0021903	rostrocaudal neural tube patterning	0.234376669689555	1/12	GBX2
GO:0003166	ID2 TBX5 NKX2-5 HOPX IRX3 TBX3	6	bundle of His development	NKX2-5 TBX5 TBX3 ALCAM TRIM14 GCSH	THOC1 CSRNP1 SMYD2 LRRC38 PON3 TAMALIN	GO:0003166	bundle of His development	2.0759488281253742e-20	6/6	TBX3,TBX5,NKX2-5,ID2,IRX3,HOPX	GO:0060932	His-Purkinje system cell differentiation	6.013683106227647e-08	3/4	NKX2-5,TBX3,TBX5	GO:0046784	viral mRNA export from host cell nucleus	0.095542507244282	1/8	THOC1
GO:0043377	SLC4A2 ZBTB7B SOCS1	3	negative regulation of CD8-positive, alpha-beta T cell differentiation	SOCS1 ECPAS PLEKHG4	SPSB1 DEFB135 MTIF3	GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation	5.437847405946356e-10	3/3	ZBTB7B,SOCS1,SLC4A2	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	0.1070194989431417	1/53	SOCS1	GO:0070124	mitochondrial translational initiation	0.0229088344283463	1/2	MTIF3
GO:0035825	MSH5 UBE2B MLH3 MND1 RAD51B C1orf146 MUS81 SYCP1 TEX11 NBN HFM1 CENPS-CORT KLHDC3 TEX19 SHOC1 MSH4 ANKLE1 RNF212 FANCD2 TOP2A ERCC4 ATM MRE11 BRME1 MAJIN C14orf39 TERB1 CNTD1 EME1 SPO11 UHRF1 REC8 BRCA1 CENPX RNF212B BARD1 RAD51D RAD54B FANCM SYCE3 RBBP8 HSF2BP MLH1 RAD51C MEIOB SLX4 PSMC3IP ANKRD31 CENPS RMI1 PRDM7 NUCKS1 TERB2 TOP6BL RAD21 BRIP1 RAD51AP1 TRIP13 RAD54L RAD50 CCNB1IP1 RAD51 HDAC10 UBR2 TOP2B TOPBP1 PRDM9 EME2 DMC1	69	homologous recombination	SPO11 RNF212 KLHDC3 RAD51C TOP2B TEX11 CENPS ANKRD31 FANCM SLX4 CENPS-CORT MEIOB BRCA1 ATM SYCE3 EME2 BRIP1 MSH5 BRME1 RAD21 TOPBP1 PRDM7 ANKLE1 UBR2 HDAC10 TERB1 UBE2B NUCKS1 MUS81 RAD51 SYCP1 RBBP8 MAJIN HFM1 IL1A PRSS8 WWC2 VPS18 OGG1 RTTN LSM14B PFKFB1 TAF5 IMPA2 LAS1L TBX1 AP1M2 PCDHA4 IFT56 AAMDC OR11H1 MFHAS1 ALOX12 DLL3 KLHL10 RIMKLB CCNB2 SSBP3 KCTD16 ARHGAP29 DACT3 APLNR GOLGA8O LIPI ANXA3 SPRTN PTPDC1 DNAH8 CD79B	IFNA7 MTIF2 DHDH MAGOH SYCP2 MIA3 UBAP2 SST THOC7 NHERF1 ICAM3 GOPC DGKD TRIOBP KCNK10 LYPLA1 CSTL1 CTDSPL2 SRPRA USP21 CENPU MARCKS PRKCI HLA-DQB1 PWP1 GPR89A LCK SLAIN2 CNGA4 ARMC7 MGAM2 KIFBP DFFB ZNF254 MEX3B ATP6V1D EIF2B2 AKAP4 SOX6 NDUFA1 IGFBP3 AR CTAGE1 TAS2R39 ELAVL2 MCM10 IL1A ZNF649 ANKRD17 RGPD2 STXBP5 RBM6 CHMP2B PDZD4 LETM1 LSM7 GCNT7 SOBP JHY NT5C1A DMRTC2 PARP14 TBC1D3G TDP2 KLK7 PLCB1 CLIC6 NCAPG2 ZNF385B	GO:0035825	homologous recombination	2.742256598946861e-191	69/69	RNF212B,TOP2B,RMI1,RAD51C,MND1,SHOC1,TOP2A,EME2,RNF212,UBR2,RAD54B,ERCC4,FANCD2,ATM,TERB1,RBBP8,C1orf146,MUS81,HSF2BP,MLH1,CENPS,RAD51AP1,PRDM9,KLHDC3,PSMC3IP,SPO11,NBN,MAJIN,RAD21,CCNB1IP1,UHRF1,CENPX,RAD51,TOPBP1,TEX19,SLX4,EME1,RAD51B,TOP6BL,TEX11,CNTD1,REC8,BRCA1,MRE11,NUCKS1,FANCM,RAD54L,HFM1,BRIP1,ANKLE1,CENPS-CORT,MEIOB,PRDM7,RAD51D,C14orf39,MSH4,RAD50,HDAC10,SYCP1,MSH5,TRIP13,DMC1,UBE2B,MLH3,BRME1,SYCE3,ANKRD31,BARD1,TERB2	GO:0035825	homologous recombination	2.2896089826422208e-63	34/69	TOP2B,EME2,RAD51C,RNF212,UBR2,ATM,TERB1,RBBP8,MUS81,CENPS,KLHDC3,SPO11,MAJIN,RAD21,RAD51,TOPBP1,SLX4,TEX11,BRCA1,NUCKS1,FANCM,HFM1,BRIP1,ANKLE1,CENPS-CORT,MEIOB,PRDM7,HDAC10,SYCP1,MSH5,UBE2B,BRME1,SYCE3,ANKRD31	GO:0048808	male genitalia morphogenesis	0.186235407451309	2/4	SYCP2,AR
GO:0007063	SMC5 ESPL1 BUB1 ATRX NSMCE2 RAD21 SLF2 CTNNB1 DDX11 FEN1 TNKS WAPL CTCF SLF1 MACROH2A1 NAA10 AXIN2	17	regulation of sister chromatid cohesion	MACROH2A1 BUB1 SLF1 AXIN2 WAPL CTNNB1 ATRX NSMCE2 ARHGAP1 GPRASP2 CAMK2A KCTD4 MRPL10 STARD4 NR4A3 SPA17 STK38	DPY19L2 ANXA4 OR10Z1 GTF2H1 EXTL3 SERBP1 ALKAL1 MMP23B TFIP11 PRR14 IER2 GRIN2D MRPS27 ND5 PRM1 ZNF138 MLN	GO:0007063	regulation of sister chromatid cohesion	5.47676539511693e-55	17/17	ESPL1,CTCF,RAD21,NAA10,TNKS,AXIN2,SMC5,NSMCE2,CTNNB1,MACROH2A1,FEN1,ATRX,SLF1,BUB1,DDX11,SLF2,WAPL	GO:0007063	regulation of sister chromatid cohesion	4.927480863126498e-18	8/17	AXIN2,NSMCE2,MACROH2A1,ATRX,SLF1,BUB1,CTNNB1,WAPL	GO:0070378	positive regulation of ERK5 cascade	0.20973768584878	1/2	ALKAL1
GO:0051036	RAB11A BORCS6 BORCS8 CHMP3 BORCS5 RAB5A BLOC1S2 SNAPIN BORCS7 BLOC1S1 KXD1 RILP ALS2 RNF103-CHMP3	14	regulation of endosome size	BORCS7 SNAPIN ALS2 BORCS6 RAB5A BLOC1S1 RILP PRKCQ KRT74 CYSLTR1 SEPTIN14 PTPN3 MRPL10 FAM32A	GLI4 BLVRA SRP68 TM9SF4 ZAN SMARCD3 LYST EMX2 KCNJ15 HNRNPU CDK8 ATG5 GSTZ1 MYMK	GO:0051036	regulation of endosome size	2.7836952735999467e-46	14/14	ALS2,KXD1,BORCS7,BLOC1S2,BLOC1S1,BORCS6,RILP,RNF103-CHMP3,CHMP3,BORCS5,RAB5A,BORCS8,RAB11A,SNAPIN	GO:0051036	regulation of endosome size	1.0204767614156927e-16	7/14	ALS2,BORCS7,BLOC1S1,RILP,BORCS6,RAB5A,SNAPIN	GO:0018410	C-terminal protein amino acid modification	0.1419314374061449	1/16	ATG5
GO:0071715	MIF SLC22A7 ABCC10 TNFSF11 PLA2G5 SLCO4A1 DRD3 NOS2 AVPR1B LEP SLC22A8 LHCGR PNPLA8 NMUR2 PLA2G2D NTSR1 ABCC6 ABCC1 EDN1 PLA2G2E TNFRSF11A PLA2G1B PTGES SLC22A6 SLCO3A1 ABCC3 OC90 MAP2K6 PTGS2 ACE PLA2R1 PLA2G4F PLA2G12B PLA2G10 P2RX7 SLCO2A1 IL1B SLC22A1 PROCA1 SLC22A11 DRD2 BDKRB2 PLA2G2F PLA2G3 IL1A P2RX4 NMB SLC22A2 ABCC11 ABCC4 SYK SLCO1B1 SSTR4 PLA2G12A ABCC2 CYP4A11 PLA2G2A DRD4 PLA2G4A SLCO2B1 CYP4F2	61	icosanoid transport	ABCC6 P2RX4 PLA2G2E SLC22A7 PTGES SSTR4 SLC22A11 PROCA1 ABCC10 PLA2G12A SLCO4A1 PLA2G3 MIF SLCO3A1 ABCC11 PLA2G10 PLA2G2F CYP4F2 PTGS2 PNPLA8 NTSR1 PLA2R1 NMB EDN1 DRD4 BDKRB2 SLCO1B1 SLC22A6 PLA2G2D ABCC1 TNFRSF18 RARS1 AGA OSBPL8 PPP1R11 SND1 RAB3GAP2 AIMP1 BAAT ERBIN CCAR1 CRYGN LY9 OCEL1 RNF2 MAGEB5 HSPA8 OR52B2 KPNA1 COL6A3 CPEB4 KRT9 FBL PJA1 DDX5 POLR3H B4GALT2 MED20 KAT2A TET3 ZNF814	SLC30A8 MICAL3 HK2 PRKAA2 TMCC1 NUDT14 CDK5R2 PAH KLF12 GAA INPP5K CHRNA4 PEX5L OR2C3 TMEM150B STEAP3 ZNF552 IFIT5 SLC25A5 CHI3L2 ZWINT COPS7A MAMLD1 CCDC96 ZDHHC8 IL9 ZNF416 DEFA4 RASSF7 GPR65 OR5AR1 DENND2B MRPS2 PSMD1 IMPDH1 RBM26 GLT6D1 LTBP4 TMEM205 FOXD2 TNFRSF10C PCDHAC2 ZPBP2 ZNF324 ACBD7 RFPL4AL1 STK10 CLCF1 PHLDA2 KLC1 OR52A5 IL2RA UQCRB METTL6 TSPY10 PRPSAP1 MIF4GD DDAH2 CYB5D1 PPP1CC PPIE	GO:0071715	icosanoid transport	1.290719401017117e-171	61/61	DRD4,CYP4F2,NMUR2,SLC22A6,IL1A,SYK,MIF,PLA2G10,PTGES,P2RX4,PLA2G4A,DRD2,TNFSF11,SLCO3A1,PTGS2,SLC22A11,PROCA1,PLA2G4F,SLCO4A1,SLC22A2,PLA2G2E,AVPR1B,LEP,SLCO2A1,NOS2,PLA2R1,PLA2G12B,TNFRSF11A,DRD3,NMB,OC90,IL1B,NTSR1,ABCC2,PLA2G3,ABCC11,SLC22A7,ABCC10,ABCC3,SLC22A1,EDN1,PNPLA8,ABCC6,PLA2G12A,P2RX7,ABCC4,ABCC1,ACE,LHCGR,SLC22A8,MAP2K6,BDKRB2,PLA2G1B,SLCO1B1,PLA2G2D,SSTR4,PLA2G2F,PLA2G2A,SLCO2B1,CYP4A11,PLA2G5	GO:0071715	icosanoid transport	3.69019736279476e-57	30/61	DRD4,CYP4F2,SLC22A6,MIF,PLA2G10,PTGES,P2RX4,SLCO3A1,PTGS2,SLC22A11,PROCA1,SLCO4A1,PLA2G2E,PLA2R1,NMB,NTSR1,PLA2G3,ABCC11,SLC22A7,ABCC10,EDN1,PNPLA8,ABCC6,PLA2G12A,ABCC1,BDKRB2,SLCO1B1,SSTR4,PLA2G2D,PLA2G2F	GO:0005977	glycogen metabolic process	0.0958404880910201	4/69	PPP1CC,PHLDA2,INPP5K,GAA
GO:0070316	SMARCA2 MED1 ARID2 DAB2IP PBRM1 ACTL6B CHEK1 SMARCB1 DPF1 SMARCD2 PPP2R5B BCL7B ARID1B PHF10 CDKN2B RHNO1 BCL7A SMARCC1 BRD7 RRM1 FOXO4 ARID1A DPF2 BCL7C RRM2B SOX15 DUX4 SMARCC2 SMARCA4 ACTL6A SMARCD3 SMARCE1 DPF3 HLA-G ACTB SMARCD1	36	regulation of G0 to G1 transition	DPF1 SMARCB1 FOXO4 PPP2R5B SMARCA4 DPF3 SMARCC2 ACTB BCL7C SMARCE1 DAB2IP BCL7A SOX15 BRD7 RHNO1 HLA-G PBRM1 ACTL6A SALL2 OR4C16 S100A16 EID2 DNAAF3 AUTS2 VAMP8 SMYD2 C19orf18 SPACA7 OR10X1 RHOBTB1 ZDHHC1 SNX24 ZGPAT EFS MRPS22 CSTA	RP9 ZC3HC1 SEL1L OR2T8 ACAD9 SERINC5 HRH4 GUSB RAB2B P4HA3 GLIS2 DNAJC11 TOE1 NRROS ATP2A1 MKRN3 APOA1 TMC4 HAX1 CGB1 VASH1 FTCD SMG8 ZC3H7B PRKG2 SPR NGF UBE2V1 LRCH1 TMTC3 DEGS1 KLF7 POLD4 UBE2J1 DMAP1 LRRD1	GO:0070316	regulation of G0 to G1 transition	2.584248433271576e-108	36/36	DPF1,ARID1A,BCL7C,CDKN2B,DPF3,ARID1B,SMARCD2,SMARCA4,SOX15,RRM2B,ARID2,PPP2R5B,RRM1,CHEK1,PHF10,SMARCC2,ACTB,BCL7B,ACTL6A,SMARCE1,DAB2IP,SMARCB1,BCL7A,ACTL6B,DPF2,PBRM1,SMARCA2,SMARCD3,SMARCC1,BRD7,HLA-G,FOXO4,DUX4,SMARCD1,MED1,RHNO1	GO:0070316	regulation of G0 to G1 transition	4.543667668875178e-38	18/36	DAB2IP,BRD7,HLA-G,SMARCB1,FOXO4,BCL7A,DPF1,BCL7C,PPP2R5B,DPF3,SMARCC2,PBRM1,ACTB,RHNO1,ACTL6A,SMARCE1,SMARCA4,SOX15	GO:0042558	pteridine-containing compound metabolic process	0.0483248230459037	3/32	SPR,FTCD,PRKG2
GO:0071716	ABCC4 ABCC3 ABCC10 ABCC6 ABCC1 ABCC2 ABCC11	7	leukotriene transport	ABCC6 ABCC4 ABCC11 SLC35E4 ACSF3 AIRIM MAD2L2	MYH11 SLBP PRKAB1 GALC MID2 AMMECR1 HOXB1	GO:0071716	leukotriene transport	2.9114649632097794e-24	7/7	ABCC6,ABCC4,ABCC1,ABCC2,ABCC11,ABCC10,ABCC3	GO:0071716	leukotriene transport	7.937368573084262e-07	3/7	ABCC11,ABCC4,ABCC6	GO:0019376	galactolipid catabolic process	0.0663867446809888	1/3	GALC
GO:0006515	AKIRIN2 LONP2 FBXL17 KLHL15 NGLY1 UGGT2 YME1L1 CUL3 DERL1 CLPP RNF185 VCP ZER1 UFD1 PEX12 OMA1 BAG6 RNF126 UBE2W TOR1A RNF5 UGGT1 SDF2L1 AUP1 HDAC6 STUB1 LONP1 ATXN3 ANKZF1 PEX10 ZYG11B	31	protein quality control for misfolded or incompletely synthesized proteins	CLPP RNF5 ATXN3 AKIRIN2 ANKZF1 BAG6 PEX10 ZYG11B UFD1 VCP FBXL17 HDAC6 RNF126 PEX12 UGGT1 COPS9 TGIF1 RDH11 ELMO2 ASCL4 ZP4 RBP5 MCM8 KRTAP6-2 AP2M1 RASSF8 RAB8B GABRE NUSAP1 MIEF2 SRPK3	ZXDA OR51I1 OR10A3 AMPD2 CYP4B1 ARRDC4 CCR4 FASTKD3 RMI2 VXN UNC13D LCE2A LIMS1 LYPD3 USP50 SLC25A6 MED17 ANGPTL1 DIRAS1 HOXD8 DOK1 KLF2 CALM3 MRPS18A MAGEA9 WWC3 CEBPE GABRQ ZNF195 PISD GPHN	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	7.278305446719202e-95	31/31	PEX12,TOR1A,BAG6,RNF126,ZYG11B,RNF5,UBE2W,CUL3,AUP1,LONP1,VCP,SDF2L1,AKIRIN2,NGLY1,STUB1,UGGT2,DERL1,FBXL17,ZER1,LONP2,ATXN3,KLHL15,UFD1,OMA1,PEX10,ANKZF1,CLPP,YME1L1,UGGT1,HDAC6,RNF185	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	4.906093590298594e-32	15/31	UFD1,PEX12,PEX10,ANKZF1,BAG6,RNF126,ZYG11B,FBXL17,VCP,CLPP,UGGT1,ATXN3,HDAC6,RNF5,AKIRIN2	GO:0015866	ADP transport	0.3502796916632441	1/12	SLC25A6
GO:1901550	PLCB1 ROCK1 VEGFA PROC S1PR3 CLDN5 PPP1R12A CDH5 S1PR2 ROCK2 IKBKB TNFRSF1A IL1B VCL TNF F11R ADD1 ZDHHC21	18	regulation of endothelial cell development	ADD1 ROCK1 IKBKB S1PR3 ZDHHC21 VEGFA ROCK2 PROC TNF TUBG2 JAGN1 AGAP3 AURKAIP1 SS18L2 POLA2 RPE65 CFDP1 ACSBG2	PEX5 SDCBP2 LYPLA1 HRH4 CCNP TBCE TMEM241 GPRC6A MESP1 VCX2 GZMB HOOK2 AK8 SERHL2 DAZ1 FDXACB1 DDO AGPAT4	GO:1901550	regulation of endothelial cell development	4.6424372945295264e-58	18/18	S1PR3,PPP1R12A,VCL,CDH5,ADD1,VEGFA,PROC,PLCB1,CLDN5,S1PR2,ROCK1,IKBKB,IL1B,F11R,ZDHHC21,TNFRSF1A,TNF,ROCK2	GO:1903140	regulation of establishment of endothelial barrier	6.538744206951854e-21	9/18	S1PR3,ADD1,VEGFA,PROC,IKBKB,ROCK1,ZDHHC21,TNF,ROCK2	GO:0060947	cardiac vascular smooth muscle cell differentiation	0.1546951074666827	1/8	MESP1
GO:0010899	LDLR SCARB1 APOC1	3	regulation of phosphatidylcholine catabolic process	SCARB1 ANAPC15 RALA	VPS52 CAPZA1 ALDH9A1	GO:0010899	regulation of phosphatidylcholine catabolic process	5.486508232845206e-10	3/3	SCARB1,LDLR,APOC1	GO:0098856	intestinal lipid absorption	0.0452711068563609	1/19	SCARB1	GO:0010668	ectodermal cell differentiation	0.035412259305215	1/6	VPS52
GO:1901079	CHGA ABCC8 HRC	3	positive regulation of relaxation of muscle	ABCC8 TBCB LATS1	SSX7 ZNF425 RTP4	GO:1901079	positive regulation of relaxation of muscle	5.814968814412436e-10	3/3	CHGA,HRC,ABCC8	GO:0001827	inner cell mass cell fate commitment	0.0390434228182156	1/3	LATS1	GO:0051205	protein insertion into membrane	0.2021316635801497	1/44	RTP4
GO:1900087	CUL4A CPSF3 PLCB1 CCND3 CCNE2 EGFR CDC6 KMT2E CCNE1 CYP1A1 LSM11 ADAM17 TERT RDX ANKRD17 RRM1 UBE2E2 RPTOR FGF10 RGCC CUL4B MTBP KCNA5 STIL CDK10 AKT1 AIF1 ADAMTS1 STOX1 LSM10 CCND1 DDR2 CENPJ MEPCE MBLAC1 MDM2 SASS6 HYAL1 TFDP1 RRM2 DDX3X CCND2 EIF4G1 PLRG1	44	positive regulation of G1/S transition of mitotic cell cycle	EGFR UBE2E2 CDC6 MBLAC1 CCND2 KMT2E RPTOR ANKRD17 ADAMTS1 CCNE2 ADAM17 HYAL1 CUL4B CDK10 MEPCE DDX3X CENPJ RDX STIL PLRG1 CYP1A1 CUL4A AP4S1 HGD HS3ST3A1 CCR7 STX4 PCDHA9 RGS16 IFT57 CXCL3 COL1A2 CRIP2 CRB1 PRPF3 PSMD13 PLEKHM3 OR5M10 CNEP1R1 SPRR2F GLB1L2 AQP5 HHEX PDGFC	GBGT1 EIF4G2 PRKACG PRKAR2A BEX4 CERT1 CIDEB PMFBP1 DMRTB1 NDRG1 H2BC3 SHMT1 OR6C6 CAPN2 GNG5 TICRR COX4I1 RPL11 OPRL1 PARM1 C1QL4 TOLLIP ULBP3 MLC1 MNX1 NCAN TIMM17B KIF25 USP51 LYNX1 ZNF114 NYNRIN OTOG MRPL16 WDR26 SLC2A3 NDUFB3 H4C8 ASB9 CD52 ABHD14B SPP2 TAC4 PIPOX	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	4.834975682933357e-129	44/44	CDC6,SASS6,EIF4G1,AKT1,CCNE1,PLRG1,DDX3X,RGCC,ADAM17,CDK10,KMT2E,RRM2,STIL,PLCB1,CPSF3,RRM1,ANKRD17,AIF1,STOX1,EGFR,MBLAC1,RDX,CUL4B,RPTOR,CCNE2,MDM2,CUL4A,FGF10,CCND3,KCNA5,MTBP,CENPJ,TERT,TFDP1,CCND2,CYP1A1,CCND1,DDR2,LSM10,ADAMTS1,MEPCE,UBE2E2,HYAL1,LSM11	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	8.0320305841056e-45	22/44	CDC6,PLRG1,DDX3X,ADAM17,CDK10,KMT2E,STIL,ANKRD17,EGFR,MBLAC1,RDX,CUL4B,RPTOR,CCNE2,CUL4A,CENPJ,CCND2,CYP1A1,ADAMTS1,MEPCE,UBE2E2,HYAL1	GO:0009265	2'-deoxyribonucleotide biosynthetic process	0.3740181130887012	1/14	SHMT1
GO:0051884	WNT5A CTNNB1 SPINK5 WNT10B FERMT1	5	regulation of timing of anagen	FERMT1 CTNNB1 ACP2 ATG16L2 TCHH	SLC10A3 OSBPL9 WDR35 ZBTB37 PPP4R1	GO:0051884	anagen	6.371056845842377e-17	5/5	FERMT1,WNT5A,WNT10B,SPINK5,CTNNB1	GO:0051884	regulation of timing of anagen	0.0003204910632251	2/5	CTNNB1,FERMT1	GO:0010876	lipid localization	0.2546972796745449	2/474	OSBPL9,SLC10A3
